"업태별상품군",2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09 p),2022.10 p)
"업태별상품군",경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수,경상지수
"백화점 총지수",105.4,74.6,70.2,85.0,102.3,95.6,88.7,86.4,99.9,111.4,113.6,100.3,99.2,100.8,113.9,112.6,121.7,109.3,99.5,100.0,122.5,137.6,140.8,134.8,131.8,108.9,125.9,132.1,142.4,124.7,125.5,119.0,130.1,142.5
"화장품",109.0,75.1,68.0,80.1,101.5,78.5,80.4,77.0,87.1,84.0,83.5,87.2,82.5,77.5,84.8,88.0,108.4,82.1,77.4,79.3,102.5,96.5,101.4,116.5,110.0,85.3,92.9,93.3,121.4,88.7,90.7,89.9,109.3,104.0
"대형마트 총지수",118.5,90.3,95.2,95.0,99.2,95.1,98.5,110.2,127.1,99.1,96.8,111.8,112.6,108.3,100.0,98.7,107.8,97.6,110.6,109.9,116.2,104.9,91.9,107.1,125.5,87.5,101.9,98.6,103.7,99.2,110.3,114.7,116.9,103.6
"화장품",110.8,69.4,66.3,61.5,67.2,64.8,65.7,70.2,97.1,66.9,66.0,66.1,73.7,77.3,61.7,58.9,65.2,57.6,62.2,63.6,84.6,63.1,57.9,62.3,88.9,52.1,58.9,57.4,65.4,58.8,64.4,70.6,77.1,59.5
"면세점 총지수",264.1,143.8,141.9,128.7,132.8,145.2,163.3,188.4,193.6,181.3,185.2,154.6,180.4,152.5,187.2,203.2,204.6,175.8,171.8,199.1,230.4,211.8,230.0,179.8,151.6,186.3,216.9,180.5,189.6,190.7,162.7,204.8,230.7,246.0
"화장품",368.2,240.2,272.5,245.9,244.8,267.3,296.6,330.0,347.9,325.8,325.8,257.1,318.2,254.7,314.7,352.9,346.1,291.5,289.0,343.6,410.8,364.5,395.0,300.1,253.2,313.4,370.1,301.5,320.4,323.7,267.7,346.2,407.6,428.2
"전문소매점 총지수",95.1,81.3,77.2,84.6,98.3,90.3,84.0,82.2,88.9,91.4,90.9,87.1,82.4,82.9,91.5,92.6,95.2,90.1,90.1,87.9,100.0,102.4,100.0,101.2,95.9,88.3,99.7,99.5,101.7,94.5,94.0,91.9,98.6,100.9
"화장품",106.8,56.6,43.1,60.6,66.7,67.6,60.7,59.0,54.4,54.3,59.0,55.7,52.5,57.8,65.6,62.2,62.5,71.9,62.4,51.6,67.1,50.8,61.7,70.5,59.7,60.3,77.5,68.0,81.4,84.3,77.2,58.7,74.3,63.1
"무점포 소매 총지수",175.3,187.3,210.5,198.1,208.5,203.9,204.7,215.8,227.6,223.9,233.1,246.0,233.2,208.5,239.0,233.7,239.3,231.0,241.7,233.2,244.1,254.8,263.9,276.3,250.0,233.9,256.7,245.9,255.8,242.3,245.2,256.3,251.3,261.5
"화장품",138.3,128.6,134.1,129.9,127.2,120.7,119.7,115.2,125.8,125.6,126.5,132.3,142.5,123.9,138.8,142.8,144.9,135.4,139.7,140.0,145.9,139.5,153.4,158.4,169.6,154.4,164.5,159.6,176.3,157.7,156.7,165.7,164.9,165.9
