"상품군별","판매매체별",2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09 p),2022.10 p)
"의복","계",1027047,938264,1163579,1155879,1322705,1302365,1092426,903288,1139160,1593552,1761425,1492560,1083924,1001223,1453986,1365934,1375013,1396560,1255424,1040043,1296167,1755277,1806676,1812605,1285904,1141302,1551321,1625014,1617887,1501851,1397846,1175566,1473352,1860942
"의복","인터넷쇼핑",344662,317879,381999,404391,439901,433977,375077,312831,389482,528037,623392,511955,343117,299479,449154,434188,439144,453988,387401,322127,396240,524361,588072,553161,365545,317451,433340,467191,473726,442451,401286,331533,411075,539531
"의복","모바일쇼핑",682385,620386,781580,751488,882804,868388,717349,590457,749677,1065515,1138033,980605,740806,701744,1004832,931746,935868,942572,868023,717915,899926,1230916,1218604,1259445,920358,823851,1117981,1157822,1144161,1059400,996559,844033,1062278,1321410
"신발","계",163078,172717,202992,209318,247007,244096,219823,175627,190865,228078,277583,235591,172563,190876,265603,238449,273203,282988,237440,200407,210742,248054,279231,283715,214947,203623,272707,281447,303140,282081,255834,253609,251312,267319
"신발","인터넷쇼핑",50215,56091,66707,78519,80772,83186,78196,56788,65184,74855,103948,78627,59293,65260,89379,85838,101673,111277,86537,79337,68829,78153,100028,95227,79524,66959,94208,91255,112169,89149,73268,97277,77953,73522
"신발","모바일쇼핑",112863,116626,136285,130799,166235,160910,141627,118839,125681,153223,173635,156964,113270,125617,176224,152611,171530,171711,150903,121070,141913,169901,179203,188488,135423,136663,178500,190192,190972,192932,182566,156331,173359,193797
"가방","계",209623,209098,218312,197855,223745,238258,239820,225361,222912,234555,246595,251948,229370,236077,280917,270707,268539,253042,254968,246344,255293,280783,372703,293022,262846,255724,293711,285692,291330,296603,293550,307303,300138,295731
"가방","인터넷쇼핑",52520,52185,49848,48358,50613,52709,54876,48935,47741,48312,54476,52535,45617,46801,55514,53290,51765,51012,51043,48324,48627,55897,56968,59583,49203,50794,56542,56479,57860,55466,53985,56307,57309,54593
"가방","모바일쇼핑",157103,156913,168464,149498,173132,185549,184944,176426,175171,186243,192120,199413,183753,189276,225403,217418,216774,202030,203925,198019,206666,224886,315735,233439,213643,204930,237169,229213,233470,241137,239566,250996,242829,241138
"패션용품 및 액세서리","계",199331,182790,182878,167749,189517,186921,200200,177172,162797,167234,184018,213764,181348,168376,198420,199495,211157,200125,208256,189094,190296,206119,213977,262800,218744,202831,209966,208919,224381,229002,231273,215193,212836,211032
"패션용품 및 액세서리","인터넷쇼핑",58595,54601,56126,53480,59103,55809,61498,51340,47697,46731,54061,58690,49532,44687,52858,52246,53935,51742,55158,47776,47201,55132,55965,64341,49857,44708,45734,46224,48080,43679,42261,42704,41743,53191
"패션용품 및 액세서리","모바일쇼핑",140736,128189,126752,114268,130413,131111,138702,125832,115100,120503,129957,155074,131816,123688,145562,147249,157222,148383,153098,141318,143096,150987,158012,198458,168886,158123,164232,162695,176301,185323,189013,172490,171092,157841
"화장품","계",1115832,1041073,971374,949965,927351,978091,1002712,1081476,1078717,1039189,1140393,1095910,1094223,920866,1062271,1030379,1146809,1027765,970780,913268,1008814,973702,1076587,947932,872307,863924,951417,848008,911125,869456,782802,821338,863945,865957
"화장품","인터넷쇼핑",465477,422642,525542,590008,519020,565283,597678,674877,629684,587581,645198,554534,575252,437629,527460,500518,589834,490710,440934,351379,425528,423224,448589,262992,216065,222157,276410,231837,218772,224539,167875,175775,216287,220126
"화장품","모바일쇼핑",650355,618432,445832,359957,408331,412807,405033,406599,449033,451608,495195,541375,518971,483237,534811,529862,556975,537055,529846,561889,583286,550478,627998,684940,656242,641766,675007,616172,692353,644917,614927,645563,647658,645831
