"상품군별",2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09 p),2022.10 p)
"상품군별",경상금액,경상금액,경상금액,경상금액,경상금액,경상금액,경상금액,경상금액,경상금액,경상금액,경상금액,경상금액,경상금액,경상금액,경상금액,경상금액,경상금액,경상금액,경상금액,경상금액,경상금액,경상금액,경상금액,경상금액,경상금액,경상금액,경상금액,경상금액,경상금액,경상금액,경상금액,경상금액,경상금액,경상금액
"승용차",3360808,2882681,5007020,5190739,5272159,6249924,4919953,4455846,5024889,5037386,5527838,5493991,4535663,4068162,5621894,5434678,5362876,5781037,5138473,4528154,4137507,4464006,4782851,5419169,3747572,4322014,5304806,5187636,5302024,5366083,4906056,5000225,5270235,5341464
"가전제품",1925120,2095621,2187733,2219070,2666943,2773619,2428400,2892953,2421937,2502330,2737323,2574644,2639893,2377468,2645358,2492106,2743358,2686697,3004155,2732522,2453231,2801948,2798124,2690555,2589140,2576383,2566909,2416059,2613447,2593049,2815276,2633110,2381521,2541098
"통신기기 및 컴퓨터",1583233,1642235,1706424,1567683,1565059,1460945,1512136,1807747,1621599,1563993,1670032,1661606,1810702,1626741,1672681,1549836,1521855,1430644,1518666,1779076,1653048,1757559,1730373,1708992,1598433,1869697,1724396,1516649,1520460,1401023,1413546,1667759,1464458,1638745
"가구",704660,782190,819727,855431,875024,821646,823451,861168,866182,918894,901469,947137,920380,865247,979914,932367,916323,864863,883098,904888,876984,1012081,949910,960717,923877,891197,941307,873342,826777,791529,791246,816596,831909,848343
"의복",4310520,3229575,3221792,3891957,4929037,4308946,3739127,3225958,3822850,5407743,5389181,4288342,3648064,3663824,4866261,5032986,5259603,4556320,4215926,3727883,4836604,6212244,6204657,5642174,4573481,3920913,5005000,5564737,5805132,5016305,4764751,4100967,5044261,6263689
"신발 및 가방",1233814,896445,874647,960685,1263187,1071186,993177,892930,945869,1144172,1111462,992282,889048,972328,1187852,1209680,1259867,1158437,1099318,1020207,1206631,1338720,1360629,1244094,1120192,1066495,1223172,1314367,1451152,1301731,1228584,1126695,1248414,1423204
"오락, 취미, 경기용품",780130,785942,916361,1088292,1282365,1140149,1142845,1042671,1115460,1273271,1173859,1123131,896386,914689,1153068,1256330,1319111,1227917,1266204,1210825,1310708,1434129,1291800,1268643,992517,967639,1219963,1363312,1428595,1269744,1289643,1221358,1311120,1378232
"음식료품",10907804,9166229,9557716,9436851,9965471,9457864,9677906,10419557,12662451,9607881,9638693,10916038,10936407,10745120,10040953,10202605,10631733,10155186,10777625,11051803,12759079,10524197,10095168,11326301,12986394,9302770,10667694,10548866,11015067,10533937,11071155,12016337,12306984,10849950
"의약품",1899418,1915018,1930325,1933151,1987584,1981107,1896714,1849289,1902448,1872808,1887300,1916891,1843935,1742655,1890654,1925131,2024883,2073922,2076520,2036428,2122040,2162091,2204706,2270954,2198641,2548294,2740225,2449325,2309214,2259765,2349590,2488276,2432813,2425157
"화장품",3064314,2142175,2178908,2186401,2263194,2265403,2321666,2402280,2558857,2416430,2445141,2228901,2473104,2182625,2498071,2630638,2670495,2429685,2389647,2520194,2953426,2615318,2852250,2643625,2507793,2522340,2904235,2580637,2881306,2746349,2523218,2718273,3061426,3033555
"서적, 문구",614182,576942,628675,542624,544868,533917,526371,564244,570645,512759,512373,677724,620092,562397,716775,518484,509433,499925,578395,529890,551540,507229,527821,711457,654296,576690,713749,566407,531575,512460,567931,555373,562359,514767
"차량연료",4174108,3834844,3812558,3337512,3326169,3443190,3671101,3751077,3515583,3661173,3607570,3730319,3635666,3625146,4125976,4155001,4399288,4493588,4820272,4870576,4577579,5148965,5261770,5024927,4488809,4337208,5174064,5494629,5955442,6146736,6484578,6003228,5491013,5837242
